woman,district,use,use4,lc,age,urban,educ,hindu,d_lit,d_pray,cons
1.000000,1.000000,0.000000,4.000000,3.000000,18.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
2.000000,1.000000,1.000000,1.000000,0.000000,10.99999,1.000000,3.000000,1.000000,0.090000,0.640000,1.000000
3.000000,1.000000,0.000000,4.000000,0.000000,-6.00000,1.000000,1.000000,1.000000,0.090000,0.640000,1.000000
4.000000,1.000000,0.000000,4.000000,2.000000,0.999999,1.000000,2.000000,0.000000,0.090000,0.640000,1.000000
5.000000,1.000000,0.000000,4.000000,3.000000,7.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
6.000000,1.000000,0.000000,4.000000,0.000000,-14.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
7.000000,1.000000,0.000000,4.000000,0.000000,-12.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
8.000000,1.000000,0.000000,4.000000,3.000000,18.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
9.000000,1.000000,1.000000,2.000000,0.000000,-13.0000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
10.00000,1.000000,0.000000,4.000000,3.000000,-4.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
11.00000,1.000000,0.000000,4.000000,1.000000,-6.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
12.00000,1.000000,0.000000,4.000000,0.000000,-4.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
13.00000,1.000000,1.000000,3.000000,3.000000,10.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
14.00000,1.000000,0.000000,4.000000,3.000000,12.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
15.00000,1.000000,0.000000,4.000000,3.000000,0.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
16.00000,1.000000,1.000000,3.000000,0.000000,-12.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
17.00000,1.000000,0.000000,4.000000,0.000000,-3.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
18.00000,1.000000,0.000000,4.000000,1.000000,-5.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
19.00000,1.000000,0.000000,4.000000,3.000000,4.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
20.00000,1.000000,0.000000,4.000000,3.000000,17.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
21.00000,1.000000,0.000000,4.000000,3.000000,-1.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
22.00000,1.000000,1.000000,2.000000,3.000000,3.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
23.00000,1.000000,1.000000,2.000000,0.000000,-12.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
24.00000,1.000000,0.000000,4.000000,0.000000,-6.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
25.00000,1.000000,1.000000,2.000000,1.000000,-8.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
26.00000,1.000000,1.000000,2.000000,3.000000,-1.00000,1.000000,2.000000,0.000000,0.090000,0.640000,1.000000
27.00000,1.000000,1.000000,2.000000,1.000000,-7.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
28.00000,1.000000,0.000000,4.000000,2.000000,-4.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
29.00000,1.000000,0.000000,4.000000,0.000000,-5.00000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
30.00000,1.000000,0.000000,4.000000,3.000000,14.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
31.00000,1.000000,0.000000,4.000000,0.000000,-10.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
32.00000,1.000000,0.000000,4.000000,1.000000,-10.0000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
33.00000,1.000000,0.000000,4.000000,3.000000,1.999999,1.000000,2.000000,0.000000,0.090000,0.640000,1.000000
34.00000,1.000000,0.000000,4.000000,3.000000,-0.00000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
35.00000,1.000000,1.000000,3.000000,2.000000,1.999999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
36.00000,1.000000,1.000000,2.000000,1.000000,-5.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
37.00000,1.000000,0.000000,4.000000,0.000000,-5.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
38.00000,1.000000,0.000000,4.000000,3.000000,13.99999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
39.00000,1.000000,1.000000,2.000000,0.000000,-7.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
40.00000,1.000000,0.000000,4.000000,3.000000,11.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
41.00000,1.000000,1.000000,2.000000,1.000000,-4.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
42.00000,1.000000,0.000000,4.000000,2.000000,0.999999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
43.00000,1.000000,1.000000,3.000000,1.000000,-6.00000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
44.00000,1.000000,1.000000,2.000000,1.000000,-2.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
45.00000,1.000000,0.000000,4.000000,3.000000,9.999999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
46.00000,1.000000,0.000000,4.000000,2.000000,-7.00000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
47.00000,1.000000,1.000000,2.000000,2.000000,-3.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
48.00000,1.000000,0.000000,4.000000,2.000000,-8.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
49.00000,1.000000,0.000000,4.000000,0.000000,8.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
50.00000,1.000000,0.000000,4.000000,3.000000,7.999999,1.000000,1.000000,1.000000,0.090000,0.640000,1.000000
51.00000,1.000000,0.000000,4.000000,3.000000,13.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
52.00000,1.000000,0.000000,4.000000,1.000000,-12.0000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
53.00000,1.000000,1.000000,3.000000,3.000000,7.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
54.00000,1.000000,0.000000,4.000000,3.000000,5.999999,1.000000,2.000000,0.000000,0.090000,0.640000,1.000000
55.00000,1.000000,0.000000,4.000000,2.000000,-4.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
56.00000,1.000000,1.000000,2.000000,3.000000,-6.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
57.00000,1.000000,0.000000,4.000000,3.000000,13.99999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
58.00000,1.000000,0.000000,4.000000,3.000000,1.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
59.00000,1.000000,0.000000,4.000000,1.000000,-11.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
60.00000,1.000000,0.000000,4.000000,3.000000,4.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
61.00000,1.000000,1.000000,2.000000,1.000000,-8.00000,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
62.00000,1.000000,1.000000,2.000000,2.000000,-5.00000,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
63.00000,1.000000,1.000000,3.000000,3.000000,-2.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
64.00000,1.000000,1.000000,1.000000,3.000000,5.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
65.00000,1.000000,0.000000,4.000000,1.000000,-12.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
66.00000,1.000000,1.000000,2.000000,3.000000,0.999999,1.000000,3.000000,0.000000,0.090000,0.640000,1.000000
67.00000,1.000000,0.000000,4.000000,3.000000,1.999999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
68.00000,1.000000,1.000000,1.000000,3.000000,1.999999,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
69.00000,1.000000,0.000000,4.000000,1.000000,-9.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
70.00000,1.000000,1.000000,1.000000,2.000000,10.99999,1.000000,4.000000,0.000000,0.090000,0.640000,1.000000
71.00000,1.000000,0.000000,4.000000,0.000000,-13.0000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
72.00000,1.000000,0.000000,4.000000,2.000000,-2.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
73.00000,1.000000,0.000000,4.000000,3.000000,-2.00000,1.000000,1.000000,0.000000,0.090000,0.640000,1.000000
