school	student	normexam	cons	standlrt	girl	schgend	avslrt	schav	vrband
1.00	1.00	0.26	1.00	0.62	1.00	mixedsch	0.17	mid	vb1
1.00	2.00	0.13	1.00	0.21	1.00	mixedsch	0.17	mid	vb2
1.00	3.00	-1.72	1.00	-1.36	0.00	mixedsch	0.17	mid	vb3
1.00	4.00	0.97	1.00	0.21	1.00	mixedsch	0.17	mid	vb2
1.00	5.00	0.54	1.00	0.37	1.00	mixedsch	0.17	mid	vb2
1.00	6.00	1.73	1.00	2.19	0.00	mixedsch	0.17	mid	vb1
1.00	7.00	1.04	1.00	-1.12	0.00	mixedsch	0.17	mid	vb3
1.00	8.00	-0.13	1.00	-1.03	0.00	mixedsch	0.17	mid	vb2
1.00	9.00	-0.94	1.00	-0.54	1.00	mixedsch	0.17	mid	vb2
1.00	10.00	-1.22	1.00	-1.45	0.00	mixedsch	0.17	mid	vb3
1.00	11.00	2.41	1.00	2.44	0.00	mixedsch	0.17	mid	vb1
1.00	12.00	0.61	1.00	2.11	0.00	mixedsch	0.17	mid	vb1
1.00	13.00	-1.84	1.00	0.04	0.00	mixedsch	0.17	mid	vb2
1.00	14.00	-0.13	1.00	1.20	0.00	mixedsch	0.17	mid	vb1
1.00	15.00	2.20	1.00	2.52	0.00	mixedsch	0.17	mid	vb1
1.00	16.00	1.24	1.00	1.11	1.00	mixedsch	0.17	mid	vb1
1.00	17.00	1.73	1.00	1.03	1.00	mixedsch	0.17	mid	vb1
1.00	18.00	1.31	1.00	0.78	0.00	mixedsch	0.17	mid	vb1
1.00	19.00	-0.62	1.00	-1.12	0.00	mixedsch	0.17	mid	vb3
1.00	20.00	1.04	1.00	-1.20	1.00	mixedsch	0.17	mid	vb3
1.00	21.00	-1.03	1.00	-0.37	1.00	mixedsch	0.17	mid	vb2
1.00	22.00	-1.22	1.00	-1.36	0.00	mixedsch	0.17	mid	vb3
1.00	23.00	0.33	1.00	-0.95	1.00	mixedsch	0.17	mid	vb2
1.00	24.00	-0.49	1.00	-2.36	0.00	mixedsch	0.17	mid	vb3
1.00	25.00	1.90	1.00	-0.04	1.00	mixedsch	0.17	mid	vb2
1.00	26.00	0.90	1.00	0.37	0.00	mixedsch	0.17	mid	vb1
1.00	27.00	0.07	1.00	1.11	0.00	mixedsch	0.17	mid	vb1
1.00	28.00	0.19	1.00	0.04	0.00	mixedsch	0.17	mid	vb2
1.00	29.00	1.51	1.00	0.62	1.00	mixedsch	0.17	mid	vb1
1.00	30.00	1.90	1.00	2.02	0.00	mixedsch	0.17	mid	vb1
1.00	31.00	0.33	1.00	-0.62	0.00	mixedsch	0.17	mid	vb2
1.00	32.00	0.90	1.00	-1.12	0.00	mixedsch	0.17	mid	vb3
1.00	33.00	1.66	1.00	0.29	0.00	mixedsch	0.17	mid	vb2
1.00	34.00	-0.78	1.00	-0.12	0.00	mixedsch	0.17	mid	vb2
1.00	35.00	0.40	1.00	0.37	0.00	mixedsch	0.17	mid	vb1
1.00	36.00	0.97	1.00	1.03	0.00	mixedsch	0.17	mid	vb1
1.00	37.00	0.48	1.00	-0.12	0.00	mixedsch	0.17	mid	vb2
1.00	38.00	0.13	1.00	0.12	0.00	mixedsch	0.17	mid	vb2
1.00	39.00	2.31	1.00	0.62	0.00	mixedsch	0.17	mid	vb1
1.00	40.00	-0.20	1.00	0.29	0.00	mixedsch	0.17	mid	vb2
1.00	41.00	0.48	1.00	-0.29	0.00	mixedsch	0.17	mid	vb2
1.00	42.00	0.82	1.00	0.78	0.00	mixedsch	0.17	mid	vb1
1.00	43.00	1.04	1.00	-0.29	1.00	mixedsch	0.17	mid	vb2
1.00	44.00	-0.56	1.00	-1.03	1.00	mixedsch	0.17	mid	vb2
1.00	45.00	-1.34	1.00	-0.95	0.00	mixedsch	0.17	mid	vb2
1.00	46.00	-0.56	1.00	-2.36	0.00	mixedsch	0.17	mid	vb3
